市场,代码,名称,板块,细分行业,货币,最新价,今日最高,今日最低,今开,成交量,成交额,昨收,总股本,市盈率(动),市盈率(静),市盈率TTM,市净率,换手率%,涨跌幅%,涨跌额,总市值,流通市值,52周最高(前复权),52周最低(前复权)
美股,DPZ,达美乐披萨,可选消费,披萨,USD,350.0,353.0,336.5,337.0,1037474.0,361221847.0,332.06,33081735.0,19.84,19.92,19.84,4.97,0.0,5.4,17.94,10178399000.0,11578607000.0,533.64,350.0
美股,EAT,布林克餐饮,可选消费,休闲餐饮,USD,230.19,237.65,228.89,234.4,617808.0,142785760.0,233.22,41765010.0,19.74,19.74,19.74,21.67,1.48,-1.3,-3.03,9613887652.0,9613887652.0,253.94,102.29
美股,YUMC,百胜中国,可选消费,快餐,USD,45.02,45.507,44.77,45.29,1139275.0,51358378.0,44.91,342056900.0,15.79,16.58,15.79,2.87,0.33,0.24,0.11,15399401638.0,15399401638.0,57.95,40.18
美股,LKNCY,瑞幸咖啡,可选消费,咖啡餐饮,USD,36.16,36.16,34.52,35.29,434801.0,15373393.0,35.25,286288675.0,20.86,22.6,20.86,4.65,0.0,2.58,0.91,8790147000.0,10352198000.0,43.03,27.67
美股,CAVA,CAVA,可选消费,快餐,USD,66.94,68.495,66.3,67.0,1496842.0,100213754.0,66.95,116806198.0,118.02,122.66,118.02,9.29,1.28,-0.01,-0.01,7819006894.0,7819006894.0,97.39,43.59
美股,WING,Wingstop,可选消费,快餐,USD,113.58,113.73,109.615,110.19,787354.0,88544547.0,109.95,27242546.0,26.58,17.76,26.58,-4.0,2.89,3.3,3.63,3094208375.0,3094208375.0,338.62,109.95
美股,SHAK,Shake Shack,可选消费,快餐,USD,69.89,71.725,69.08,70.62,941349.0,65826170.0,70.55,42798938.0,75.3,65.42,75.3,5.5,2.33,-0.94,-0.66,2991217777.0,2824125534.0,106.0,52.34
美股,BROS,荷兰兄弟,可选消费,咖啡餐饮,USD,49.91,51.72,49.84,51.25,2612886.0,131432375.0,50.71,174681716.0,94.38,109.2,94.38,10.93,1.89,-1.58,-0.8,8718364446.0,6884625228.0,74.24,46.69
美股,WMT,沃尔玛,可选消费,商超零售,USD,103.09,103.4,102.5,103.09,19420840.0,2000327418.0,102.63,7958079155.0,37.35,37.76,37.35,0.87,0.0,0.45,0.46,457256250000.0,820398380000.0,115.11,81.79
美股,COST,开市客,可选消费,商超零售,USD,945.47,953.73,937.11,938.935,1401469.0,1325607040.0,934.66,443478804.0,47.44,51.77,47.44,12.51,0.32,1.16,10.81,419295904818.0,419295904818.0,1094.32,850.0
美股,TGT,塔吉特,可选消费,商超零售,USD,163.18,166.06,162.65,166.0,3644518.0,595321424.0,165.93,454296736.0,16.88,20.01,16.88,4.15,0.8,-1.66,-2.75,74132141380.0,74132141380.0,169.89,83.68
